Points
53 
1 	 -3.000000e+00 	 0.000000e+00  
2 	 1.000000e+00 	 1.000000e+00  
3 	 1.000000e+00 	 -1.000000e+00  
4 	 6.500000e-01 	 -0.000000e+00  
5 	 6.448746e-01 	 8.146660e-02  
6 	 6.295791e-01 	 1.616484e-01  
7 	 6.043547e-01 	 2.392810e-01  
8 	 5.695993e-01 	 3.131399e-01  
9 	 5.258610e-01 	 3.820604e-01  
10 	 4.738296e-01 	 4.449556e-01  
11 	 4.143256e-01 	 5.008336e-01  
12 	 3.482874e-01 	 5.488132e-01  
13 	 2.767565e-01 	 5.881376e-01  
14 	 2.008610e-01 	 6.181867e-01  
15 	 1.217979e-01 	 6.384867e-01  
16 	 4.081384e-02 	 6.487174e-01  
17 	 -4.081384e-02 	 6.487174e-01  
18 	 -1.217979e-01 	 6.384867e-01  
19 	 -2.008610e-01 	 6.181867e-01  
20 	 -2.767565e-01 	 5.881376e-01  
21 	 -3.482874e-01 	 5.488132e-01  
22 	 -4.143256e-01 	 5.008336e-01  
23 	 -4.738296e-01 	 4.449556e-01  
24 	 -5.258610e-01 	 3.820604e-01  
25 	 -5.695993e-01 	 3.131399e-01  
26 	 -6.043547e-01 	 2.392810e-01  
27 	 -6.295791e-01 	 1.616484e-01  
28 	 -6.448746e-01 	 8.146660e-02  
29 	 -6.500000e-01 	 -7.960204e-17  
30 	 -6.448746e-01 	 -8.146660e-02  
31 	 -6.295791e-01 	 -1.616484e-01  
32 	 -6.043547e-01 	 -2.392810e-01  
33 	 -5.695993e-01 	 -3.131399e-01  
34 	 -5.258610e-01 	 -3.820604e-01  
35 	 -4.738296e-01 	 -4.449556e-01  
36 	 -4.143256e-01 	 -5.008336e-01  
37 	 -3.482874e-01 	 -5.488132e-01  
38 	 -2.767565e-01 	 -5.881376e-01  
39 	 -2.008610e-01 	 -6.181867e-01  
40 	 -1.217979e-01 	 -6.384867e-01  
41 	 -4.081384e-02 	 -6.487174e-01  
42 	 4.081384e-02 	 -6.487174e-01  
43 	 1.217979e-01 	 -6.384867e-01  
44 	 2.008610e-01 	 -6.181867e-01  
45 	 2.767565e-01 	 -5.881376e-01  
46 	 3.482874e-01 	 -5.488132e-01  
47 	 4.143256e-01 	 -5.008336e-01  
48 	 4.738296e-01 	 -4.449556e-01  
49 	 5.258610e-01 	 -3.820604e-01  
50 	 5.695993e-01 	 -3.131399e-01  
51 	 6.043547e-01 	 -2.392810e-01  
52 	 6.295791e-01 	 -1.616484e-01  
53 	 6.448746e-01 	 -8.146660e-02  
Triangles
53 
1 	 1 	 3 	 2 	 
2 	 1 	 4 	 3 	 
3 	 1 	 5 	 4 	 
4 	 1 	 6 	 5 	 
5 	 1 	 7 	 6 	 
6 	 1 	 8 	 7 	 
7 	 1 	 9 	 8 	 
8 	 1 	 10 	 9 	 
9 	 1 	 11 	 10 	 
10 	 1 	 12 	 11 	 
11 	 1 	 13 	 12 	 
12 	 1 	 14 	 13 	 
13 	 1 	 15 	 14 	 
14 	 1 	 16 	 15 	 
15 	 38 	 0 	 2 	 
16 	 1 	 17 	 16 	 
17 	 1 	 0 	 18 	 
18 	 17 	 1 	 18 	 
19 	 18 	 0 	 19 	 
20 	 19 	 0 	 20 	 
21 	 20 	 0 	 21 	 
22 	 21 	 0 	 22 	 
23 	 22 	 0 	 23 	 
24 	 23 	 0 	 24 	 
25 	 24 	 0 	 25 	 
26 	 25 	 0 	 26 	 
27 	 26 	 0 	 27 	 
28 	 27 	 0 	 28 	 
29 	 28 	 0 	 29 	 
30 	 29 	 0 	 30 	 
31 	 30 	 0 	 31 	 
32 	 31 	 0 	 32 	 
33 	 32 	 0 	 33 	 
34 	 33 	 0 	 34 	 
35 	 34 	 0 	 35 	 
36 	 35 	 0 	 36 	 
37 	 36 	 0 	 37 	 
38 	 39 	 38 	 2 	 
39 	 37 	 0 	 38 	 
40 	 40 	 39 	 2 	 
41 	 41 	 40 	 2 	 
42 	 42 	 41 	 2 	 
43 	 43 	 42 	 2 	 
44 	 44 	 43 	 2 	 
45 	 45 	 44 	 2 	 
46 	 46 	 45 	 2 	 
47 	 47 	 46 	 2 	 
48 	 48 	 47 	 2 	 
49 	 49 	 48 	 2 	 
50 	 50 	 49 	 2 	 
51 	 51 	 50 	 2 	 
52 	 52 	 51 	 2 	 
53 	 3 	 52 	 2 	 
